CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,492,282,"3,198",25.59,462.50,88.10,120,437.05,464.50,90,"54,700.00",60,"3,274.50","3,393.95",600,-986.25,"3,438.55",28.51,54,29,190,
,598,290,"3,847",25.49,438.00,82.30,30,437.80,440.90,30,"54,800.00",60,"3,346.10","3,990.10",900,"-1,207.55","3,121.65",18.31,99,-54,101,
,602,282,"4,832",25.39,414.50,76.70,60,402.35,421.85,60,"54,900.00",60,"3,331.95","4,064.90",600,"-1,096.20","3,510.40",26.59,71,-48,187,
,"21,282","2,843","64,044",25.30,392.00,72.25,90,392.00,396.75,30,"55,000.00",90,"3,508.20","3,571.00",120,"-1,050.30","3,550.00",25.60,"1,380",126,"10,089",
,"1,067",794,"8,048",25.03,363.35,56.05,"2,100",363.40,385.75,300,"55,100.00",60,"3,483.70","3,895.25",330,-551.35,"3,651.45",26.12,103,-71,78,
,571,333,"4,195",24.99,344.90,53.45,60,342.00,359.90,60,"55,200.00",900,"3,082.85","3,838.25",120,"-1,103.50","3,679.10",24.71,169,-,156,
,603,250,"4,299",25.03,329.95,55.20,30,322.00,345.95,60,"55,300.00",30,"3,743.35","4,038.60",300,"-1,035.65","3,625.90",20.59,54,-11,103,
,377,134,"2,220",24.98,312.45,51.50,30,311.00,333.25,120,"55,400.00",60,"3,772.90","4,408.05",870,"-1,208.15","3,715.65",20.65,178,77,173,
,"5,290","1,025","16,053",25.14,302.80,57.95,30,293.00,303.95,30,"55,500.00",30,"3,894.45","4,003.35",60,"-1,058.20","3,940.00",24.99,287,-86,"2,544",
,459,142,"2,413",24.95,281.80,45.40,60,267.05,285.00,60,"55,600.00",30,"3,957.80","4,512.50",870,-844.85,"4,136.30",28.09,339,191,266,
,564,225,"2,184",24.71,260.20,37.15,60,260.00,263.50,30,"55,700.00",60,"4,013.20","4,381.00",300,-557.10,"4,077.55",23.98,132,80,151,
,548,296,"2,573",24.65,245.15,33.15,30,246.00,260.10,60,"55,800.00",300,"3,593.90","4,705.25",870,"-1,390.85","3,770.20",-,28,22,86,
,530,228,"2,517",24.61,231.40,28.15,60,231.40,239.45,60,"55,900.00",60,"4,179.55","4,994.05",330,-974.70,"4,270.95",24.61,66,7,100,
,"14,420","4,290","37,145",24.62,219.95,29.95,"1,170",219.00,220.00,60,"56,000.00",30,"4,316.65","4,379.70",30,"-1,099.35","4,329.30",23.61,701,-122,"5,030",
,686,439,"2,608",24.63,208.75,25.40,60,188.65,215.45,60,"56,100.00",60,"4,381.45","4,563.00",600,-889.70,"4,539.55",27.61,108,-40,82,
,353,182,"2,009",24.56,195.85,21.10,30,175.00,196.00,30,"56,200.00",30,"4,482.75","4,629.10",120,"-1,147.45","4,366.45",16.07,45,-13,87,
,703,531,"2,998",24.30,178.65,16.15,30,182.30,189.95,30,"56,300.00",60,"4,563.85","4,921.70",300,-952.15,"4,648.95",25.53,41,-9,77,
,447,246,"2,743",24.32,169.55,13.50,30,172.45,174.40,30,"56,400.00",60,"4,650.05","5,477.30",870,"-1,113.30","4,856.10",29.40,99,-34,73,
,"4,938","1,348","14,784",24.39,162.00,19.60,30,156.45,168.90,60,"56,500.00",30,"4,746.65","4,824.15",30,"-1,007.35","4,822.80",25.39,399,-210,968,
,411,91,888,24.22,149.20,11.60,30,148.00,155.00,180,"56,600.00",60,"4,836.05","5,203.00",300,"-1,009.65","4,811.75",20.75,53,-,267,
,589,270,"1,520",24.38,144.45,7.75,30,141.00,150.15,60,"56,700.00",60,"4,914.05","5,765.05",870,-889.95,"5,082.60",28.32,196,-121,87,
,641,244,"1,839",24.26,133.85,6.05,30,132.00,135.30,30,"56,800.00",60,"5,012.35","5,161.85",120,"-1,159.75","4,999.40",20.73,3,-,130,
,626,406,"2,415",24.20,125.05,2.40,120,125.00,134.80,300,"56,900.00",600,"5,052.50","5,839.25",210,-718.35,"4,976.20",-,2,-1,76,
,"13,781","2,230","35,649",24.19,117.65,11.10,60,117.65,120.00,630,"57,000.00",30,"5,193.75","5,303.15",150,"-1,046.05","5,202.80",21.66,"1,226",293,"6,639",
,683,300,"1,929",24.03,107.90,0.10,30,107.80,114.00,30,"57,100.00",300,"4,832.00","6,030.50",600,729.00,"5,350.10",24.61,18,-5,48,
,593,380,"2,154",24.21,105.05,-0.15,780,100.00,117.70,300,"57,200.00","1,170","4,864.90","6,144.80",300,-,-,-,-,-,66,
