CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"84,077","29,716","13,46,757",25.80,60.60,6.45,845,60.60,61.05,"1,495","23,500.00",260,795.90,801.10,390,-371.50,807.05,19.87,"26,338","2,261","11,773",
,"7,617","3,141","2,27,613",25.78,53.45,5.30,"1,300",53.25,53.70,715,"23,550.00",65,833.25,851.35,65,-325.80,865.80,22.52,910,-28,677,
,"30,149","11,142","4,17,114",25.74,46.80,4.55,520,46.90,47.35,260,"23,600.00",260,878.75,889.55,260,-371.95,904.00,21.04,"4,534",454,"8,311",
,"6,985","4,898","1,95,383",25.79,41.40,3.60,650,41.50,41.80,"1,300","23,650.00",130,922.25,939.50,65,-317.30,961.05,23.48,513,37,164,
,"32,024","15,039","4,19,515",25.84,36.50,1.65,780,36.40,36.70,910,"23,700.00",520,968.15,982.50,65,-383.70,990.00,18.59,"1,811",162,"1,473",
,"10,767","7,908","1,62,765",25.90,32.20,0.85,195,32.20,32.50,"1,430","23,750.00",130,"1,013.45","1,034.15",65,-312.30,"1,052.60",23.35,352,4,227,
,"36,463","13,834","4,63,512",25.99,28.50,1.45,65,28.30,28.50,"1,430","23,800.00",65,"1,059.65","1,075.40",65,-373.60,"1,083.00",15.51,"3,025",-333,"3,228",
,"10,533","7,486","1,68,910",25.91,24.45,0.55,"1,820",24.45,24.95,65,"23,850.00",65,"1,096.65","1,127.60",455,-330.25,"1,131.95",14.30,228,-,179,
,"34,372","19,222","2,92,900",26.00,21.55,-0.70,780,21.55,21.85,"1,820","23,900.00",65,"1,154.00","1,167.00",65,-334.70,"1,182.90",16.81,"1,823",-324,"5,072",
,"6,998","5,239","1,32,178",26.15,19.15,-0.65,"2,145",19.05,19.25,260,"23,950.00",390,"1,173.95","1,218.55",65,-311.05,"1,270.10",30.86,89,27,55,
,"96,518","36,815","8,94,573",26.24,16.85,-1.90,"2,145",16.55,16.85,715,"24,000.00",130,"1,249.85","1,262.00",260,-380.20,"1,256.65",-,"4,236",-663,"11,434",
,"8,024","4,843","1,21,185",26.42,15.05,-1.90,845,14.75,15.05,"1,690","24,050.00",390,"1,268.90","1,313.90",130,-254.50,"1,360.50",30.51,5,-,36,
,"45,455","23,986","2,75,791",26.46,13.05,-2.40,"2,600",13.15,13.35,"1,105","24,100.00",65,"1,316.95","1,364.10",520,-348.45,"1,380.10",-,110,-,"5,457",
,"8,895","7,288","1,02,318",26.70,11.80,-2.30,"1,300",11.55,11.70,"2,600","24,150.00",780,"1,361.90","1,452.10",780,-,-,-,-,-,14,
,"40,943","13,640","2,79,759",26.68,10.10,-2.30,"1,105",10.10,10.30,"1,885","24,200.00",65,"1,445.00","1,458.75",195,-355.20,"1,463.30",-,234,-96,"8,558",
,"8,514","3,784","94,725",26.91,9.10,-2.40,"1,300",8.95,9.05,"2,925","24,250.00",65,"1,483.95","1,575.20",780,-,-,-,-,-,"1,569",
,"27,387","12,730","1,99,266",26.97,7.90,-2.55,"2,795",7.85,8.00,"1,495","24,300.00",780,"1,507.45","1,564.25",65,-362.00,"1,579.75",-,8,-5,"3,318",
,"8,885","6,830","87,162",27.00,6.80,-2.95,"3,250",6.80,6.85,390,"24,350.00",780,"1,539.65","1,697.95",780,-,-,-,-,-,25,
